Taxon	Old_Grouping	Taepp_16s_Clades	Richards_WGS_Clades	Gao_WGS_Clades	Clade_Consensus	Haase_Amylase_Activity	Colour	Group
Streptococcus_infantis	NA	mitis	NA	mitis	mitis	T	orange	NA
Streptococcus_mitis	viridans	mitis	mitis	mitis	mitis	T	orange	NA
Streptococcus_oralis	viridans	mitis	mitis	mitis	mitis	T	orange	NA
Streptococcus_parasanguinis	viridans	mitis	mitis	mitis	mitis	T	orange	NA
Streptococcus_salivarius	viridans	salivarius	salivarius	salivarius	salivarius	T	darkblue	NA
Streptococcus_gordonii	viridans	mitis	sanguinis	mitis	sanguinis	T	lightgreen	NA
Streptococcus_cristatus	viridans	mitis	sanguinis	NA	sanguinis	T	lightgreen	NA
Streptococcus_anginosus	NA	NA	anginosus	anginosus	anginosus	NA	yellow	NA
Streptococcus_constellatus	NA	anginosus	anginosus	anginosus	anginosus	NA	yellow	NA
Streptococcus_equinus	viridans	NA	bovis	bovis	bovis	NA	green	NA
Streptococcus_gallolyticus	viridans	bovis	bovis	bovis	bovis	NA	green	NA
Streptococcus_infantarius	viridans	bovis	bovis	bovis	bovis	NA	green	NA
Streptococcus_macedonicus	NA	bovis	NA	bovis	bovis	NA	green	NA
Streptococcus_pasteurianus	viridans	NA	bovis	bovis	bovis	NA	green	NA
Streptococcus_criceti	downei	mutans	downei	mutans	downei	NA	brown	NA
Streptococcus_pneumoniae	viridans	mitis	mitis	mitis	mitis	NA	orange	NA
Streptococcus_pseudopneumoniae	viridans		mitis	mitis	mitis	NA	orange	NA
Streptococcus_acidominimus	NA	unknown	NA	NA	NA	NA	orange	NA
Streptococcus_caballi	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_devriesei	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_entericus	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_ferus	NA	mutans	NA	NA	NA	NA	orange	NA
Streptococcus_halotolerans	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_himalayensis	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_lutetiensis	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_marmota	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_marmotae	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_massiliensis	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_merionis	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_orisratti	NA	unknown	NA	NA	NA	NA	orange	NA
Streptococcus_ovis	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_pantholopis	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_pluranimalium	NA	pyogenic	NA	NA	NA	NA	orange	NA
Streptococcus_sp._1171_SSPC	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._2_1_36FAA	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._263_SSPC	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._400_SSPC	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._A12	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._C300	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._ChDC_B345	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._ChDC_B353	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._DD04	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._DD10	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._DD12	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._DD13	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._F0441	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC061D01	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC062B01	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC062D07	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC062H02	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC063B03	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC066F01	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC071D03	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC072D03	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC072D05	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC072D07	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC072G04	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC073A12	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC077F03	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HMSC10A01	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._HPH0090	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._I-G2	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._I-P16	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._M143	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._NLAE-zl-C503	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._NPS_308	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._oral_taxon_058	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._oral_taxon_064	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._oral_taxon_071	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._oral_taxon_431	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_sp._VT_162	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_troglodytae	NA	NA	NA	NA	NA	NA	orange	NA
Streptococcus_agalactiae	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_canis	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_dysgalactiae	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_equi	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_iniae	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_parauberis	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_pyogenes	pyogenic	pyogenic	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_uberis	pyogenic	1	pyogenic	pyogenic	pyogenic	NA	red	NA
Streptococcus_thermophilus	viridans	salivarius	salivarius	salivarius	salivarius	NA	darkblue	NA
Streptococcus_vestibularis	NA	salivarius	NA	salivarius	salivarius	NA	darkblue	NA
Streptococcus_suis	NA	unknown	NA	NA	unknown	NA	purple	NA
Streptococcus_intermedius	NA	anginosus	anginosus	anginosus	anginosus	F	yellow	NA
Streptococcus_mutans	viridans	mutans	mutans	mutans	mutans	F	lightblue	NA
Streptococcus_sobrinus	NA	mutans	NA	NA	NA	F	orange	NA
Streptococcus_sanguinis	viridans	mitis	sanguinis	mitis	sanguinis	F	lightgreen	NA